[2025-01-13 13:19:19,193] INFO finance.cron cron Mise a jour du Solde Du Mois de Janvier le 2025-01-13 13:19:19.193190+00:00
[2025-01-13 13:19:52,665] INFO finance.cron cron Mise a jour du Solde Du Mois de Janvier le 2025-01-13 13:19:52.665657+00:00
[2025-01-13 13:20:30,916] INFO finance.cron cron Mise a jour du Solde Du Mois de Janvier le 2025-01-13 13:20:30.916696+00:00
[2025-01-13 13:20:43,188] INFO finance.cron cron Mise a jour du Solde Du Mois de Janvier le 2025-01-13 13:20:43.188584+00:00
[2025-01-13 13:21:21,214] INFO finance.cron cron Mise a jour du Solde Du Mois de Janvier
[2025-01-13 13:56:00,878] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Mise a jour du Solde Du Mois de Janvier
[2025-01-13 15:05:22,911] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Mise a jour du Solde Du Mois de Janvier
[2025-01-13 15:09:02,160] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Mise a jour du Solde Du Mois de Janvier
[2025-01-13 15:17:55,535] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Mise a jour du Solde Du Mois de Janvier
[2025-01-13 15:17:55,657] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Updating P(10%)
[2025-01-13 15:17:55,663] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Updating CCA
[2025-01-13 15:17:55,669] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Updating CNI
[2025-01-13 15:17:55,674] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Updating CEL
[2025-01-13 15:17:55,679] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Updating DD
[2025-01-13 15:17:55,679] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Monthly Balance Job done
[2025-01-13 15:19:05,765] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Mise a jour du Solde Du Mois de Janvier
[2025-01-13 15:19:05,890] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Updating P(10%)
[2025-01-13 15:19:05,895] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Updating CCA
[2025-01-13 15:19:05,900] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Updating CNI
[2025-01-13 15:19:05,906] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Updating CEL
[2025-01-13 15:19:05,911] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Updating DD
[2025-01-13 15:19:05,911] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Monthly Balance Job done
[2025-01-13 15:19:58,725] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Mise a jour du Solde Du Mois de Janvier
[2025-01-13 15:19:58,964] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Inserting New Record for P(10%)
[2025-01-13 15:19:59,037] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Inserting New Record for CCA
[2025-01-13 15:19:59,116] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Inserting New Record for CNI
[2025-01-13 15:19:59,199] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Inserting New Record for CEL
[2025-01-13 15:19:59,262] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Inserting New Record for DD
[2025-01-13 15:19:59,262] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Monthly Balance Job done
[2025-01-13 15:20:45,527] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Mise a jour du Solde Du Mois de Janvier
[2025-01-13 15:20:45,633] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Updating P(10%)
[2025-01-13 15:20:45,638] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Updating CCA
[2025-01-13 15:20:45,644] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Updating CNI
[2025-01-13 15:20:45,649] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Updating CEL
[2025-01-13 15:20:45,655] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Updating DD
[2025-01-13 15:20:45,655] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Monthly Balance Job done
[2025-01-13 15:21:09,272] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Mise a jour du Solde Du Mois de Janvier
[2025-01-13 15:21:09,445] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Inserting New Record for P(10%)
[2025-01-13 15:21:09,590] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Inserting New Record for CCA
[2025-01-13 15:21:09,745] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Inserting New Record for CNI
[2025-01-13 15:21:09,935] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Inserting New Record for CEL
[2025-01-13 15:21:10,026] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Inserting New Record for DD
[2025-01-13 15:21:10,026] INFO seeders.management.commands.monthly_balance_job monthly_balance_job Monthly Balance Job done
